identifiant,genre,date_naissance,region,departement,diplome,csp,revenu_mensuel,vaccination,confinement_respect,precaution,risque_declare,risque_jeu,patience,cooperation,comportement
quf162dz,1,1986,2,56,1,5,11,0,5,4,10,1,10,12,54.856
sgmdqcyd,0,1976,7,78,3,8,1,2,9,5,0,2,0,0,80.789
7zp2ii9c,0,1950,0,69,3,7,4,2,10,5,5,60,0,20,54.856
lojnts25,1,1987,9,16,3,6,1,2,9,3,10,30,2,2,80.362
an6vqncw,1,1996,7,92,7,3,2,2,8,5,7,7,1,20,54.856
gu077p7d,1,1940,10,34,9,7,4,2,8,5,7,15,4,6,55.417
9f1uq8zq,0,1966,11,85,7,5,-1,2,10,4,5,63,7,0,45
ad292ixj,0,1982,0,69,7,5,1,2,8,3,0,1,7,0,56.309
beeklkad,0,1952,10,34,3,7,2,0,5,4,4,5,4,2,67.381
trrd8h9h,1,1951,1,21,6,7,5,2,8,5,6,17,7,10,54.856
azn5kxu7,1,1960,5,68,2,7,-1,2,8,5,6,32,7,20,45
x7ntuy2r,1,1963,10,34,2,7,2,2,8,5,3,20,3,20,75.379
k2a7ocq2,1,1984,0,01,7,3,2,2,10,4,3,10,5,10,62.115
mc9u6jvj,0,1957,6,62,6,7,3,2,9,4,5,7,8,0,57.804
4g3hnwmp,0,1981,7,95,3,4,1,1,9,5,5,5,10,0,57.804
x3rizqjp,1,1973,5,67,8,6,2,2,7,5,10,6,0,20,82.349
3mpbul85,1,1939,2,56,7,7,4,2,9,4,9,21,8,6,60.924
371k7500,1,1999,11,21,6,8,-1,1,7,3,5,22,7,10,53.189
jpsp5cci,0,1972,8,50,5,2,4,1,9,3,8,20,1,0,75.379
hj0gt5b2,0,1948,2,29,8,7,1,2,8,3,4,40,4,10,54.856
p19q20v0,1,1956,9,87,2,7,1,2,9,5,3,32,5,10,45
q6aupt24,1,1940,7,78,7,7,4,2,8,3,4,3,4,20,54.856
m7haf8qi,1,2001,2,35,3,8,3,2,8,3,6,20,3,8,57.714
3dkwttle,1,2000,7,17,6,8,-1,1,7,3,3,30,8,0,77.149
zo8sorlj,0,1968,9,16,3,5,2,2,9,5,4,21,9,20,67.795
z5epoqz7,0,1999,7,92,4,8,3,2,6,5,0,40,0,0,54.856
clmo9tqm,1,1935,0,69,0,7,2,2,7,4,0,27,8,0,56.878
6x9go7en,0,1953,5,52,0,7,1,2,8,4,1,1,1,0,56.977
ga4fh6hk,0,1995,12,83,6,6,1,2,9,4,2,52,5,0,51.91
lr6z730c,0,1959,10,81,2,7,2,2,9,4,0,1,1,6,56.852
itwwhk6m,0,1944,10,34,3,7,3,0,7,4,0,30,7,0,54.856
0vweo8jp,1,1978,5,67,2,6,1,2,7,4,1,13,3,10,66.173
72ze2p2o,1,1950,5,54,8,7,3,2,9,3,6,30,8,12,63.009
fkxvspat,0,1949,5,67,2,7,2,2,9,5,7,20,7,0,66.395
lkeer6x7,0,1960,8,50,2,7,3,2,7,4,0,20,5,20,64.628
o81h1q4n,1,1963,10,31,5,3,3,2,7,3,6,41,7,6,70.346
k50j8lxk,0,1997,5,88,6,4,2,1,8,4,6,27,3,20,80.362
6p0brk6a,0,1985,10,31,3,4,2,2,8,4,5,5,5,20,80.362
3j8ycm00,0,1959,11,44,6,7,9,2,9,4,4,33,2,16,57.804
mv9v3zwc,1,1956,10,30,5,7,2,2,8,4,5,40,8,12,57.804
xp0ud6em,0,1982,9,16,6,5,1,2,9,4,4,40,7,10,57.804
du4q16v7,1,1979,7,94,8,2,4,0,7,3,6,32,10,10,72.463
wd3k8d1h,1,1987,6,62,2,8,2,0,0,3,4,64,2,0,56.977
gpnw4ji6,0,1990,7,93,8,3,-1,2,10,4,6,40,3,0,54.856
